name,service_time_mean_ms,service_time_std_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms
fast,10.33348040524288,5.242076439056354,8.51052050711587,18.04756872443249,27.998090219334635
mid,19.955236445675837,4.160879932393348,18.910666491137818,28.636312513845038,31.883821570372632
slow,48.150733779039,7.904981495303895,45.53187500278,67.23568268353118,75.97886434989047
