arrival_rate,case,scenario,policy_name,overall_slo_miss_rate,accepted_slo_miss_rate,p99_latency_ms,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,fairness_jain_index,completion_rate,tenant0_slo_miss_rate,tenant1_slo_miss_rate
10,Balanced | Proposed,Balanced,Proposed,0.013815382169479381,0.013815382169479381,213.4983875023482,8.167333333333334,0.7968375066330848,0.027797426376124392,0.9999029207999266,1.0,0.02295667402295548,0.005122330791227112
10,Balanced | Threshold,Balanced,Threshold Downgrade,0.035806801906117576,0.035806801906117576,218.34394840823515,8.179333333333334,0.7979959029002721,0.010020485498639561,0.9987278053201214,1.0,0.07008297043533596,0.0031918288607251815
10,Strict-Heavy | Proposed,Strict-Heavy,Proposed,0.026892836640160733,0.026892836640160733,164.38060031351847,8.043666666666667,0.7847954613483653,0.13969837263397536,0.999574061863327,1.0,0.03828719492911648,0.0
10,Strict-Heavy | Threshold,Strict-Heavy,Threshold Downgrade,0.18551749109741741,0.18551749109741741,227.81371029346528,8.18,0.7980548200323602,0.009725899838200242,0.9776794461651123,1.0,0.2625794154139329,0.0044237384936420794
15,Balanced | Proposed,Balanced,Proposed,0.05091676470849155,0.05091676470849155,326.0671875793035,12.154000000000002,0.7906416972479837,0.07812362529396717,0.9999036584494747,0.9997729336966393,0.06031117246987026,0.04201204012725208
15,Balanced | Threshold,Balanced,Threshold Downgrade,0.08834826498153707,0.08834826498153707,290.6193396083368,12.09066666666667,0.7865358602326756,0.06730878056439327,0.9933698612993757,0.9997729336966393,0.16399664157365398,0.01603339881671673
15,Strict-Heavy | Proposed,Strict-Heavy,Proposed,0.05877779083052914,0.05877779083052914,257.494342784595,11.884333333333332,0.773076177675867,0.2302708140599924,0.998463318581603,0.9997729336966393,0.08092551115576674,0.0064493326676449995
15,Strict-Heavy | Threshold,Strict-Heavy,Threshold Downgrade,0.31517267334038385,0.31517267334038385,340.8612664333548,12.089333333333334,0.7864447830740153,0.0677638567921821,0.936245543108865,0.9997729336966393,0.4337893091634745,0.03436304612786984
20,Balanced | Proposed,Balanced,Proposed,0.15761753666901224,0.15761753666901224,368.5654846070415,15.786666666666667,0.7763380904676956,0.17000311372657306,0.9992700045546816,0.9980380485000174,0.13547964437751037,0.17827928205539445
20,Balanced | Threshold,Balanced,Threshold Downgrade,0.1150598540459506,0.1150598540459506,312.4627657100278,15.509333333333336,0.7625400850094947,0.1876223129433199,0.9899585778360075,0.998197997316396,0.20636076574834142,0.02981031956916516
20,Strict-Heavy | Proposed,Strict-Heavy,Proposed,0.09470144498452261,0.09470144498452261,358.13837568386185,15.495,0.7616133781434987,0.3157834283992361,0.998570193459459,0.9985178949491536,0.1153669281815735,0.04652754716308943
20,Strict-Heavy | Threshold,Strict-Heavy,Threshold Downgrade,0.39526334588062967,0.39526334588062967,380.77159630999864,15.509333333333336,0.7625337208245598,0.1876563184826052,0.901510367940168,0.998197997316396,0.5332936747124389,0.07378711391927557
25,Balanced | Proposed,Balanced,Proposed,0.34214373016256366,0.34214373016256366,392.02991525066705,19.17533333333333,0.7528697394836706,0.314511509034862,0.9886054521095081,0.9980516943778909,0.2692875006517072,0.4101581105576681
25,Balanced | Threshold,Balanced,Threshold Downgrade,0.1426989536745247,0.1426989536745247,326.1802910523053,18.724666666666668,0.73487798329852,0.3257492422228698,0.9865579773684074,0.9984401947663911,0.24518438972714673,0.04701742222086771
25,Strict-Heavy | Proposed,Strict-Heavy,Proposed,0.17221495457957556,0.17221495457957556,405.75987327524996,19.018333333333334,0.7461252726270344,0.40833508496059906,0.9999526152975444,0.9988279927132747,0.1734295388479924,0.1692875877984051
25,Strict-Heavy | Threshold,Strict-Heavy,Threshold Downgrade,0.44412942706449793,0.44412942706449793,393.87237823968803,18.740666666666666,0.7357947420612035,0.3215681416022357,0.8804852246698808,0.9980516943778909,0.5885513126824291,0.10910888029198514
30,Balanced | Proposed,Balanced,Proposed,0.5172730353012692,0.5172730353012692,403.0291695870885,22.10166666666667,0.727056380468182,0.4635082954615945,0.9652457654124248,0.9979165326120581,0.4226926008811183,0.6062989431770517
30,Balanced | Threshold,Balanced,Threshold Downgrade,0.1434486047824505,0.1434486047824505,318.72975021656686,21.608,0.7106706470913616,0.447459887906468,0.9855408439627366,0.9981377793853702,0.2492553809262219,0.043928050920547274
30,Strict-Heavy | Proposed,Strict-Heavy,Proposed,0.3198227547272611,0.3198227547272611,436.4766918082343,22.093666666666667,0.7262483336504623,0.5014792565921696,0.9966743129961618,0.9986765710933955,0.29686066998233956,0.37280144949636923
30,Strict-Heavy | Threshold,Strict-Heavy,Threshold Downgrade,0.4444113121196282,0.4444113121196282,394.6687149934914,21.619333333333334,0.7106460994224748,0.4473863205546742,0.8808571856395582,0.9986844066948706,0.5888791948419916,0.11073662857973303
