total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,tenant0_slo_miss_rate,tenant1_slo_miss_rate,arrival_rate,seed,case,experiment,policy_name
3049,3049,3041,0,8,0.0,30.41,0.13611020006559527,0.13611020006559527,0.9973761889143982,21.638,0.7115422558368957,0.4434240734667104,107.39509386462305,268.6948189705654,318.84018359828616,"{0: 0.23128792987188132, 1: 0.04597701149425287}",0.9885615091393729,0.23128792987188132,0.04597701149425287,30,43,Threshold Downgrade,ablation,Threshold Downgrade
3102,3102,3098,0,4,0.0,30.98,0.15635074145712444,0.15635074145712444,0.9987105093488072,21.912,0.7072950290510006,0.46421663442940037,110.47871837906132,270.48049820824764,319.6228679816454,"{0: 0.2777027027027027, 1: 0.04562268803945746}",0.9812009513494999,0.2777027027027027,0.04562268803945746,30,44,Threshold Downgrade,ablation,Threshold Downgrade
2988,2988,2988,0,0,0.0,29.88,0.0,0.0,1.0,17.928,0.5999999999999999,1.0,12.018637415822013,28.15353438738458,40.649424049589285,"{0: 0.0, 1: 0.0}",1.0,0.0,0.0,30,42,Ablation: Fastest Feasible,ablation,Fastest Feasible
3049,3049,3049,0,0,0.0,30.49,0.0,0.0,1.0,18.293999999999997,0.5999999999999999,1.0,12.026024951657746,27.80709763962295,40.71182185209967,"{0: 0.0, 1: 0.0}",1.0,0.0,0.0,30,43,Ablation: Fastest Feasible,ablation,Fastest Feasible
3102,3102,3102,0,0,0.0,31.02,0.0,0.0,1.0,18.612,0.6,1.0,12.252043643904244,27.81696898941045,39.59293206690999,"{0: 0.0, 1: 0.0}",1.0,0.0,0.0,30,44,Ablation: Fastest Feasible,ablation,Fastest Feasible
2988,2988,2981,0,7,0.0,29.81,0.5,0.5,0.9976572958500669,21.730999999999998,0.7289835625628982,0.4484605087014726,154.4253654970962,369.05505184792855,399.51188519275945,"{0: 0.40680272108843535, 1: 0.5902503293807642}",0.9676274893704344,0.40680272108843535,0.5902503293807642,30,42,Proposed: Feasible Utility,ablation,Proposed
3049,3049,3042,0,7,0.0,30.42,0.5234503115775664,0.5234503115775664,0.9977041653000984,22.134,0.7276134122287967,0.4581830108232207,164.77358062895337,369.9088383500126,405.8819942855822,"{0: 0.43762643290627107, 1: 0.6047254150702427}",0.9704532129996342,0.43762643290627107,0.6047254150702427,30,43,Proposed: Feasible Utility,ablation,Proposed
3102,3102,3097,0,5,0.0,30.97,0.5283687943262412,0.5283687943262412,0.998388136686009,22.44,0.7245721666128512,0.48388136686009026,168.82228860464966,369.0933414360887,403.6936292829239,"{0: 0.42364864864864865, 1: 0.623921085080148}",0.9576565938672059,0.42364864864864865,0.623921085080148,30,44,Proposed: Feasible Utility,ablation,Proposed
2988,2546,2541,442,5,0.14792503346720215,25.41,0.4404283801874163,0.34328358208955223,0.9980361351139042,19.352,0.7615899252262888,0.30911233307148467,169.87480286051868,360.0298399061576,385.50465041182974,"{0: 0.3551020408163265, 1: 0.5230566534914362}",0.9780772922380879,0.3551020408163265,0.5230566534914362,30,42,Proposed: Feasible Utility + Admission,ablation,Proposed + Admission
3049,2566,2560,483,6,0.1584125942932109,25.6,0.4601508691374221,0.35853468433359315,0.9976617303195635,19.519000000000002,0.7624609375,0.3078721745908028,216.15439368875832,357.1933276976214,391.32694325544975,"{0: 0.3735670937289278, 1: 0.5421455938697318}",0.9763983345975153,0.3735670937289278,0.5421455938697318,30,43,Proposed: Feasible Utility + Admission,ablation,Proposed + Admission
