arrival_rate,param_value,overall_slo_miss_rate,accepted_slo_miss_rate,drop_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p99_latency_ms
15,0.0,0.05091676470849155,0.05091676470849155,0.0,12.154000000000002,0.7906416972479837,0.07812362529396717,326.0671875793035
15,0.12,0.05091676470849155,0.05091676470849155,0.0,12.154000000000002,0.7906416972479837,0.07812362529396717,326.0671875793035
15,0.5,0.0010914812364216087,0.0010914812364216087,0.0,11.546666666666667,0.7510907982217364,0.48898181246021344,192.98672943756844
15,1.0,0.0010914812364216087,0.0010914812364216087,0.0,11.546666666666667,0.7510907982217364,0.48898181246021344,192.98672943756844
15,2.0,0.00022706630336058128,0.00022706630336058128,0.0,10.01,0.6511332881303832,1.0,48.285866862956134
20,0.0,0.15761753666901224,0.15761753666901224,0.0,15.786666666666667,0.7763380904676956,0.17000311372657306,368.5654846070415
20,0.12,0.15761753666901224,0.15761753666901224,0.0,15.786666666666667,0.7763380904676956,0.17000311372657306,368.5654846070415
20,0.5,0.014294791662894336,0.014294791662894336,0.0,15.283333333333333,0.7510207554065529,0.4854369413640985,288.8906339670764
20,1.0,0.014294791662894336,0.014294791662894336,0.0,15.283333333333333,0.7510207554065529,0.4854369413640985,288.8906339670764
20,2.0,0.00033053905861690276,0.00033053905861690276,0.0,13.276000000000002,0.6517353239985785,1.0,53.86436378387626
25,0.0,0.34214373016256366,0.34214373016256366,0.0,19.17533333333333,0.7528697394836706,0.314511509034862,392.02991525066705
25,0.12,0.34214373016256366,0.34214373016256366,0.0,19.17533333333333,0.7528697394836706,0.314511509034862,392.02991525066705
25,0.5,0.075507052504785,0.075507052504785,0.0,19.019000000000002,0.7460405327919061,0.5042022497827467,348.9818461256359
25,1.0,0.075507052504785,0.075507052504785,0.0,19.019000000000002,0.7460405327919061,0.5042022497827467,348.9818461256359
25,2.0,0.0006505780977085055,0.0006505780977085055,0.0,16.619666666666667,0.6516616206063609,1.0,64.79026765964862
30,0.0,0.5172730353012692,0.5172730353012692,0.0,22.10166666666667,0.727056380468182,0.4635082954615945,403.0291695870885
30,0.12,0.5172730353012692,0.5172730353012692,0.0,22.10166666666667,0.727056380468182,0.4635082954615945,403.0291695870885
30,0.5,0.24424995087269874,0.24424995087269874,0.0,22.268666666666665,0.7320742228765885,0.5568695188823329,373.51323686215227
30,1.0,0.24424995087269874,0.24424995087269874,0.0,22.268666666666665,0.7320742228765885,0.5568695188823329,373.51323686215227
30,2.0,0.00010932546190007652,0.00010932546190007652,0.0,19.84433333333333,0.6514790677047427,1.0,76.35674810183126
