arrival_rate,case,workload,policy_name,overall_slo_miss_rate,accepted_slo_miss_rate,p99_latency_ms,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,fairness_jain_index,completion_rate,tenant0_slo_miss_rate,tenant1_slo_miss_rate
10,ON-OFF | EDF + Fixed,ON-OFF,EDF + Fixed,0.519944588425742,0.519944588425742,634.5197570406389,9.570666666666668,0.7999999999999999,0.0,0.9988444044273734,1.0,0.5049009578310778,0.5346266499544076
10,ON-OFF | EDF + Threshold Downgrade,ON-OFF,EDF + Threshold Downgrade,0.1694465813808231,0.1694465813808231,308.30098563815795,8.588000000000001,0.7178827355091215,0.4105863224543916,0.9719229643220574,1.0,0.3092204297282808,0.02863417091156505
10,ON-OFF | Proposed,ON-OFF,Proposed,0.21478245660523645,0.21478245660523645,410.5492049666754,9.15,0.7648317480201889,0.25471898799802745,0.9877513081107447,1.0,0.1284579647320949,0.30062632421231883
10,Poisson | EDF + Fixed,Poisson,EDF + Fixed,0.03996239142756075,0.03996239142756075,231.43496648245403,8.200000000000001,0.8000000000000002,0.0,0.9986320581599991,1.0,0.07524099115755901,0.006369696169027272
10,Poisson | EDF + Threshold Downgrade,Poisson,EDF + Threshold Downgrade,0.035806801906117576,0.035806801906117576,218.34394840823515,8.179333333333334,0.7979959029002721,0.010020485498639561,0.9987278053201214,1.0,0.07008297043533596,0.0031918288607251815
10,Poisson | Proposed,Poisson,Proposed,0.013815382169479381,0.013815382169479381,213.4983875023482,8.167333333333334,0.7968375066330848,0.027797426376124392,0.9999029207999266,1.0,0.02295667402295548,0.005122330791227112
15,ON-OFF | EDF + Fixed,ON-OFF,EDF + Fixed,0.8124387898993449,0.8124387898993449,966.9674075610313,13.677333333333335,0.8000000000000002,0.0,0.9282789284919426,0.9994343891402715,0.7607705202357332,0.8650381774492456
15,ON-OFF | EDF + Threshold Downgrade,ON-OFF,EDF + Threshold Downgrade,0.19062407944016546,0.19062407944016546,323.81559286296306,11.417333333333334,0.6675002243042488,0.6624988784787559,0.972898925693695,1.0,0.32345987338940646,0.054634073219779485
15,ON-OFF | Proposed,ON-OFF,Proposed,0.44187024157590127,0.44187024157590127,462.09321624695013,12.440666666666667,0.7273363675546882,0.47394174602400296,0.8711130759175187,1.0,0.23054179415799692,0.657462720940972
15,Poisson | EDF + Fixed,Poisson,EDF + Fixed,0.18753508532992313,0.18753508532992313,437.7195726428768,12.298666666666668,0.8000000000000002,0.0,0.9940462680434047,0.9997729336966393,0.2506712049320864,0.12735783325379293
15,Poisson | EDF + Threshold Downgrade,Poisson,EDF + Threshold Downgrade,0.08834826498153707,0.08834826498153707,290.6193396083368,12.09066666666667,0.7865358602326756,0.06730878056439327,0.9933698612993757,0.9997729336966393,0.16399664157365398,0.01603339881671673
15,Poisson | Proposed,Poisson,Proposed,0.05091676470849155,0.05091676470849155,326.0671875793035,12.154000000000002,0.7906416972479837,0.07812362529396717,0.9999036584494747,0.9997729336966393,0.06031117246987026,0.04201204012725208
20,ON-OFF | EDF + Fixed,ON-OFF,EDF + Fixed,0.9963375447555531,0.9963375447555531,6394.803774646359,16.599999999999998,0.8000000000000002,0.0,0.7617380483307868,0.941640946871105,0.9944554981799257,0.9981821186225762
20,ON-OFF | EDF + Threshold Downgrade,ON-OFF,EDF + Threshold Downgrade,0.20774083142896047,0.20774083142896047,333.4733374197599,14.199333333333334,0.6441819301476976,0.7790903492615114,0.9728516810110627,1.0,0.3395438920795266,0.07831789247305136
20,ON-OFF | Proposed,ON-OFF,Proposed,0.5867762536018873,0.5867762536018873,496.0654370239096,15.359,0.6968151681946289,0.6246028527569804,0.715479727928264,1.0,0.3222637960946955,0.8460676882159776
20,Poisson | EDF + Fixed,Poisson,EDF + Fixed,0.8308674037468533,0.8308674037468533,1832.020417540669,16.200000000000003,0.8000000000000002,0.0,0.9923936944935731,0.9938442213444035,0.8470317650115624,0.8156806586073918
20,Poisson | EDF + Threshold Downgrade,Poisson,EDF + Threshold Downgrade,0.1150598540459506,0.1150598540459506,312.4627657100278,15.509333333333336,0.7625400850094947,0.1876223129433199,0.9899585778360075,0.998197997316396,0.20636076574834142,0.02981031956916516
20,Poisson | Proposed,Poisson,Proposed,0.15761753666901224,0.15761753666901224,368.5654846070415,15.786666666666667,0.7763380904676956,0.17000311372657306,0.9992700045546816,0.9980380485000174,0.13547964437751037,0.17827928205539445
25,ON-OFF | EDF + Fixed,ON-OFF,EDF + Fixed,0.9992596872774463,0.9992596872774463,23388.603300591854,16.621333333333336,0.8000000000000002,0.0,0.8332744452109616,0.7690600643690645,0.9990045921990869,0.9995132037484912
25,ON-OFF | EDF + Threshold Downgrade,ON-OFF,EDF + Threshold Downgrade,0.3042403876910189,0.3042403876910189,371.4782418580929,17.112,0.6333892844964298,0.8330535775178504,0.985605976921684,1.0,0.3865072947057286,0.2231948511842128
25,ON-OFF | Proposed,ON-OFF,Proposed,0.6530998392592676,0.6530998392592676,522.1087718135982,18.253333333333334,0.675640844378096,0.7192895884681789,0.6357047362981905,1.0,0.38693401179170134,0.9155116549112755
25,Poisson | EDF + Fixed,Poisson,EDF + Fixed,0.9938077404794708,0.9938077404794708,18365.336634743737,16.616,0.8000000000000002,0.0,0.9349485668315328,0.8140349840491171,0.9934884137183091,0.9940981783640398
25,Poisson | EDF + Threshold Downgrade,Poisson,EDF + Threshold Downgrade,0.1426989536745247,0.1426989536745247,326.1802910523053,18.724666666666668,0.73487798329852,0.3257492422228698,0.9865579773684074,0.9984401947663911,0.24518438972714673,0.04701742222086771
25,Poisson | Proposed,Poisson,Proposed,0.34214373016256366,0.34214373016256366,392.02991525066705,19.17533333333333,0.7528697394836706,0.314511509034862,0.9886054521095081,0.9980516943778909,0.2692875006517072,0.4101581105576681
30,ON-OFF | EDF + Fixed,ON-OFF,EDF + Fixed,0.9993773680631884,0.9993773680631884,35863.80891351167,16.621333333333336,0.8000000000000002,0.0,0.8329412628086533,0.6468023191448385,0.9991546399259829,0.9995961709867321
30,ON-OFF | EDF + Threshold Downgrade,ON-OFF,EDF + Threshold Downgrade,0.4151831291348688,0.4151831291348688,416.9708865005611,20.124,0.6264636330194939,0.8676818349025294,0.999408522215362,1.0,0.4222127579783608,0.40824462115435295
30,ON-OFF | Proposed,ON-OFF,Proposed,0.7184759677438781,0.7184759677438781,553.3629819868678,21.213666666666665,0.6603825294475801,0.7754454822457437,0.5928529771273915,1.0,0.4769792785694391,0.9510849355207734
