arrival_rate,case,policy_name,overall_slo_miss_rate,accepted_slo_miss_rate,p99_latency_ms,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,fairness_jain_index,completion_rate,tenant0_slo_miss_rate,tenant1_slo_miss_rate
10,Ablation: Fastest Feasible,Fastest Feasible,0.0,0.0,26.25863822394526,6.1499999999999995,0.6,1.0,1.0,1.0,0.0,0.0
10,Admission Only + Fixed Model,Admission Only + Fixed,0.03436015231944342,0.009375146266608951,211.51454381673406,7.992000000000001,0.8000000000000002,0.0,0.998839230486996,1.0,0.06767431080652303,0.002587964126425665
10,Proposed: Feasible Utility,Proposed,0.013815382169479381,0.013815382169479381,213.4983875023482,8.167333333333334,0.7968375066330848,0.027797426376124392,0.9999029207999266,1.0,0.02295667402295548,0.005122330791227112
10,Proposed: Feasible Utility + Admission,Proposed + Admission,0.013923154868934829,0.01295872089458082,212.27735362115266,8.158666666666667,0.7967684847079735,0.02847763505947716,0.9999145866758544,1.0,0.02314705590368989,0.005122330791227112
10,Threshold Downgrade,Threshold Downgrade,0.035806801906117576,0.035806801906117576,218.34394840823515,8.179333333333334,0.7979959029002721,0.010020485498639561,0.9987278053201214,1.0,0.07008297043533596,0.0031918288607251815
15,Ablation: Fastest Feasible,Fastest Feasible,0.00022706630336058128,0.00022706630336058128,30.545887476954956,9.223999999999998,0.5999999999999998,1.0,0.9999998540010857,0.9997729336966393,0.0,0.0004409171075837742
15,Admission Only + Fixed Model,Admission Only + Fixed,0.08969321517837048,0.02391395522598741,298.89161504165685,11.466666666666669,0.7999999999999999,0.0,0.9938846505444526,0.9997593261131167,0.16234467902209718,0.020159353064325477
15,Proposed: Feasible Utility,Proposed,0.05091676470849155,0.05091676470849155,326.0671875793035,12.154000000000002,0.7906416972479837,0.07812362529396717,0.9999036584494747,0.9997729336966393,0.06031117246987026,0.04201204012725208
15,Proposed: Feasible Utility + Admission,Proposed + Admission,0.052023806326107924,0.04550523643453568,318.9282960328026,12.089333333333334,0.7919130392777424,0.07133345907187714,0.9998529174207437,0.9997721576668944,0.06349802012857099,0.04115149415173403
15,Threshold Downgrade,Threshold Downgrade,0.08834826498153707,0.08834826498153707,290.6193396083368,12.09066666666667,0.7865358602326756,0.06730878056439327,0.9933698612993757,0.9997729336966393,0.16399664157365398,0.01603339881671673
20,Ablation: Fastest Feasible,Fastest Feasible,0.000170590242238144,0.000170590242238144,33.60296126603287,12.223999999999998,0.5999999999999999,1.0,0.9999999075666496,0.9998294097577619,0.0003508771929824561,0.0
20,Admission Only + Fixed Model,Admission Only + Fixed,0.20386781323759925,0.08422338511965326,345.73084416968385,14.146666666666668,0.8000000000000002,0.0,0.9886903571795393,0.9986962061480146,0.2913154562010751,0.12228353655886558
20,Proposed: Feasible Utility,Proposed,0.15761753666901224,0.15761753666901224,368.5654846070415,15.786666666666667,0.7763380904676956,0.17000311372657306,0.9992700045546816,0.9980380485000174,0.13547964437751037,0.17827928205539445
20,Proposed: Feasible Utility + Admission,Proposed + Admission,0.14416319704899672,0.11631984909651531,356.7539245734547,15.443,0.7840928239849196,0.13882282585774772,0.9995700665448722,0.998139154025358,0.1270005624841577,0.1601584093372457
20,Threshold Downgrade,Threshold Downgrade,0.1150598540459506,0.1150598540459506,312.4627657100278,15.509333333333336,0.7625400850094947,0.1876223129433199,0.9899585778360075,0.998197997316396,0.20636076574834142,0.02981031956916516
25,Ablation: Fastest Feasible,Fastest Feasible,0.000521077968208376,0.000521077968208376,37.0755927184758,15.304,0.6,1.0,0.9999997117432334,0.9994789220317917,0.00026752273943285177,0.000754773216708324
25,Admission Only + Fixed Model,Admission Only + Fixed,0.3638197757486888,0.17661578953494717,367.123976632071,15.738666666666667,0.8000000000000002,0.0,0.9878502724332429,0.9979776508704354,0.4343000407112038,0.2977315664602365
25,Proposed: Feasible Utility,Proposed,0.34214373016256366,0.34214373016256366,392.02991525066705,19.17533333333333,0.7528697394836706,0.314511509034862,0.9886054521095081,0.9980516943778909,0.2692875006517072,0.4101581105576681
25,Proposed: Feasible Utility + Admission,Proposed + Admission,0.312103236300392,0.24473176947989309,380.3734603289019,17.921666666666667,0.7726058187795434,0.22650029267965036,0.9926728637930382,0.9980018842636551,0.25105614767810086,0.3691257826018887
25,Threshold Downgrade,Threshold Downgrade,0.1426989536745247,0.1426989536745247,326.1802910523053,18.724666666666668,0.73487798329852,0.3257492422228698,0.9865579773684074,0.9984401947663911,0.24518438972714673,0.04701742222086771
30,Ablation: Fastest Feasible,Fastest Feasible,0.0,0.0,40.31805932286631,18.278,0.6,1.0,1.0,1.0,0.0,0.0
30,Admission Only + Fixed Model,Admission Only + Fixed,0.5119033282327269,0.27357319277249376,385.1136253381914,16.328,0.8000000000000002,0.0,0.9872303220483761,0.9975559309514438,0.5674994372494614,0.4596130486613112
30,Proposed: Feasible Utility,Proposed,0.5172730353012692,0.5172730353012692,403.0291695870885,22.10166666666667,0.727056380468182,0.4635082954615945,0.9652457654124248,0.9979165326120581,0.4226926008811183,0.6062989431770517
30,Proposed: Feasible Utility + Admission,Proposed + Admission,0.45374992815448617,0.3566735611138581,392.16862309494064,19.625666666666667,0.7602358145547538,0.32298275129528414,0.9762338666458806,0.9980624304717803,0.3656374592628325,0.5367361375297605
30,Threshold Downgrade,Threshold Downgrade,0.1434486047824505,0.1434486047824505,318.72975021656686,21.608,0.7106706470913616,0.447459887906468,0.9855408439627366,0.9981377793853702,0.2492553809262219,0.043928050920547274
