arrival_rate,param_value,overall_slo_miss_rate,accepted_slo_miss_rate,drop_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p99_latency_ms
15,0.0,0.052023806326107924,0.04550523643453568,0.006858258489159662,12.089333333333334,0.7919130392777424,0.07133345907187714,318.9282960328026
15,5.0,0.07280679440843757,0.06482313908224412,0.00858237024994341,12.059333333333333,0.791331028959181,0.07560848800461974,332.69147384900566
15,10.0,0.09390171849168742,0.08616716889945852,0.008554080350756872,12.050333333333334,0.7907381358877216,0.08240594786506807,342.3707340355295
15,20.0,0.15810392623264305,0.14602393748199538,0.014355752850155093,11.956333333333333,0.7892354414171425,0.09472829246446397,374.2133623583816
20,0.0,0.14416319704899672,0.11631984909651531,0.031523164346543904,15.443,0.7840928239849196,0.13882282585774772,356.7539245734547
20,5.0,0.2045974649792154,0.17149960814953044,0.04000335783831807,15.286333333333333,0.7828897188326152,0.14328317440819063,375.4871840027932
20,10.0,0.2650001749572704,0.22676175351612407,0.04958468520863424,15.106,0.7815206923359667,0.1576891759479486,390.9387051677256
20,20.0,0.37882064889967104,0.32939914762661676,0.07429316635521906,14.665666666666667,0.7793088890454319,0.17075463059657806,423.58661362703964
25,0.0,0.312103236300392,0.24473176947989309,0.08920456863914118,17.921666666666667,0.7726058187795434,0.22650029267965036,380.3734603289019
25,5.0,0.42247470038283197,0.35131640060618335,0.10970919508844905,17.471333333333334,0.7705838961256192,0.24074507222806826,391.80108830356767
25,10.0,0.5191420108454458,0.44582375491524373,0.13230199683948288,16.989333333333335,0.7689937614281813,0.2567931679732151,408.8250484310929
25,20.0,0.6713533802853053,0.5980105173751474,0.18255059933955986,15.913666666666666,0.7647352121898869,0.290199818782717,452.147029747872
30,0.0,0.45374992815448617,0.3566735611138581,0.15089827222359783,19.625666666666667,0.7602358145547538,0.32298275129528414,392.16862309494064
30,5.0,0.5911625011637126,0.49880432426608134,0.18452336386893955,18.78466666666667,0.7579788675004021,0.33843167361400844,404.1442951156267
30,10.0,0.6958641257241561,0.6109382189560837,0.21846140152084106,17.952333333333332,0.7561307232780647,0.3518082598396865,421.5015144871586
30,20.0,0.8354874882936706,0.7714757317995765,0.28087485490379555,16.409333333333333,0.7515797572044076,0.38268171627351916,468.8859845999511
