arrival_rate,param_value,overall_slo_miss_rate,accepted_slo_miss_rate,drop_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p99_latency_ms
15,80.0,0.06562380097865252,0.06562380097865252,0.0,11.941333333333333,0.7768232739997417,0.11586072215337205,256.84050509808145
15,120.0,0.08834826498153707,0.08834826498153707,0.0,12.09066666666667,0.7865358602326756,0.06730878056439327,290.6193396083368
15,160.0,0.09567621645861264,0.09567621645861264,0.0,12.152666666666667,0.7905674349591357,0.0471553956320234,306.6405426538543
15,200.0,0.10177898268307461,0.10177898268307461,0.0,12.18,0.7923545254603144,0.03822241965022899,314.03384170047315
20,80.0,0.09041323250397908,0.09041323250397908,0.0,15.356666666666667,0.7550492638306272,0.2254996079418624,286.19977294266636
20,120.0,0.1150598540459506,0.1150598540459506,0.0,15.509333333333336,0.7625400850094947,0.1876223129433199,312.4627657100278
20,160.0,0.13128744794685887,0.13128744794685887,0.0,15.598666666666666,0.7669303207422483,0.16586101388128735,327.69138138580064
20,200.0,0.14408777819675475,0.14408777819675475,0.0,15.634666666666668,0.7688336258923348,0.15633807734607263,332.57460578940737
25,80.0,0.0973524566363293,0.0973524566363293,0.0,18.600666666666665,0.7301108259909679,0.35001957490366237,292.5931801006561
25,120.0,0.1426989536745247,0.1426989536745247,0.0,18.724666666666668,0.73487798329852,0.3257492422228698,326.1802910523053
25,160.0,0.16750881195223566,0.16750881195223566,0.0,18.781333333333333,0.7373952688036932,0.3135804583816623,336.85772015779355
25,200.0,0.17861555659044182,0.17861555659044182,0.0,18.825333333333333,0.7391186140546789,0.3047217817013115,343.84836762117993
30,80.0,0.10443331860229782,0.10443331860229782,0.0,21.524,0.7076677327186194,0.46226686227912883,294.7607573223918
30,120.0,0.1434486047824505,0.1434486047824505,0.0,21.608,0.7106706470913616,0.447459887906468,318.72975021656686
30,160.0,0.16294582664782836,0.16294582664782836,0.0,21.622,0.7111996825891153,0.4445595778011615,334.813169703252
30,200.0,0.18022624072918214,0.18022624072918214,0.0,21.650666666666666,0.7119824515168277,0.4406355286953807,342.5122235488183
