arrival_rate,policy,total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,fairness_jain_index
5,EDF + Admission Only + Fixed Model,512.3333333333334,509.3333333333333,509.3333333333333,3.0,0.0,0.005754076051030624,5.093333333333334,0.010798932243905218,0.005086396122292533,1.0,50.5113558662127,96.15612351388135,132.5479758222674,4.074666666666666,0.7999999999999999,0.0,0.9998244795049017
5,EDF + Fixed,512.3333333333334,512.3333333333334,512.3333333333334,0.0,0.0,0.0,5.123333333333334,0.011444927075946562,0.011444927075946562,1.0,50.788358359052836,97.75633254278027,143.4323914001226,4.0986666666666665,0.8000000000000002,0.0,0.9998905849965353
5,EDF + Threshold Downgrade,512.3333333333334,512.3333333333334,512.3333333333334,0.0,0.0,0.0,5.123333333333334,0.010798932243905218,0.010798932243905218,1.0,50.788358359052836,97.75633254278027,143.4323914001226,4.098,0.7998708010335918,0.0006459948320413437,0.999871317907826
5,EDF + Threshold Downgrade + Admission,512.3333333333334,509.3333333333333,509.3333333333333,3.0,0.0,0.005754076051030624,5.093333333333334,0.010798932243905218,0.005086396122292533,1.0,50.5113558662127,96.15612351388135,132.5479758222674,4.074666666666666,0.7999999999999999,0.0,0.9998244795049017
5,FIFO + Fixed,512.3333333333334,512.3333333333334,512.3333333333334,0.0,0.0,0.0,5.123333333333334,0.024289450585349096,0.024289450585349096,1.0,50.797724295123466,101.66955125452535,137.6100361988044,4.0986666666666665,0.8000000000000002,0.0,0.9992255082405981
5,Proposed: EDF + Feasible Utility,512.3333333333334,512.3333333333334,512.3333333333334,0.0,0.0,0.0,5.123333333333334,0.006336845856957283,0.006336845856957283,1.0,50.788358359052836,95.12486108474258,143.4323914001226,4.0953333333333335,0.7993599929116928,0.006400070883071967,0.9999776194652221
5,Proposed: EDF + Feasible Utility + Admission,512.3333333333334,512.3333333333334,512.3333333333334,0.0,0.0,0.0,5.123333333333334,0.006336845856957283,0.006336845856957283,1.0,50.788358359052836,95.12486108474258,143.4323914001226,4.0953333333333335,0.7993599929116928,0.006400070883071967,0.9999776194652221
10,EDF + Admission Only + Fixed Model,1025.0,999.0,999.0,26.0,0.0,0.02522703272834875,9.99,0.03436015231944342,0.009375146266608951,1.0,55.883055478940754,137.75808786145524,211.51454381673406,7.992000000000001,0.8000000000000002,0.0,0.998839230486996
10,EDF + Fixed,1025.0,1025.0,1025.0,0.0,0.0,0.0,10.25,0.03996239142756075,0.03996239142756075,1.0,57.3798838438901,152.7089832936898,231.43496648245403,8.200000000000001,0.8000000000000002,0.0,0.9986320581599991
10,EDF + Threshold Downgrade,1025.0,1025.0,1025.0,0.0,0.0,0.0,10.25,0.035806801906117576,0.035806801906117576,1.0,57.143460078418684,147.20485034693786,218.34394840823515,8.179333333333334,0.7979959029002721,0.010020485498639561,0.9987278053201214
