arrival_rate,policy,sample_count,total_requests_mean,total_requests_std,total_requests_ci95,accepted_requests_mean,accepted_requests_std,accepted_requests_ci95,completed_requests_mean,completed_requests_std,completed_requests_ci95,dropped_requests_mean,dropped_requests_std,dropped_requests_ci95,unfinished_requests_mean,unfinished_requests_std,unfinished_requests_ci95,drop_rate_mean,drop_rate_std,drop_rate_ci95,throughput_mean,throughput_std,throughput_ci95,overall_slo_miss_rate_mean,overall_slo_miss_rate_std,overall_slo_miss_rate_ci95,accepted_slo_miss_rate_mean,accepted_slo_miss_rate_std,accepted_slo_miss_rate_ci95,completion_rate_mean,completion_rate_std,completion_rate_ci95,p50_latency_ms_mean,p50_latency_ms_std,p50_latency_ms_ci95,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_ci95,p99_latency_ms_mean,p99_latency_ms_std,p99_latency_ms_ci95,accuracy_weighted_throughput_mean,accuracy_weighted_throughput_std,accuracy_weighted_throughput_ci95,mean_accuracy_completed_mean,mean_accuracy_completed_std,mean_accuracy_completed_ci95,downgrade_rate_mean,downgrade_rate_std,downgrade_rate_ci95,fairness_jain_index_mean,fairness_jain_index_std,fairness_jain_index_ci95
5,EDF + Admission Only + Fixed Model,3,512.3333333333334,40.62429486567531,45.97071724961929,509.3333333333333,39.52636251077669,44.72828982993997,509.3333333333333,39.52636251077669,44.72828982993997,3.0,2.0,2.2632130552233334,0.0,0.0,0.0,0.005754076051030624,0.0037906154166986662,0.004289485149201628,5.093333333333334,0.39526362510776697,0.4472828982993997,0.010798932243905218,0.008626447637677817,0.009761744456896457,0.005086396122292533,0.00490389687640201,0.0055492817160709765,1.0,0.0,0.0,50.5113558662127,0.39828129183295824,0.45069770966378264,96.15612351388135,3.652788827820844,4.133519681549035,132.5479758222674,18.642179338461013,21.09561182830982,4.074666666666666,0.3162109000862134,0.3578263186395196,0.7999999999999999,1.3597399555105182e-16,1.5386906095100993e-16,0.0,0.0,0.0,0.9998244795049017,0.00019648754928900503,0.00022234659336985716
5,EDF + Fixed,3,512.3333333333334,40.62429486567531,45.97071724961929,512.3333333333334,40.62429486567531,45.97071724961929,512.3333333333334,40.62429486567531,45.97071724961929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.123333333333334,0.4062429486567529,0.4597071724961927,0.011444927075946562,0.009607143312320187,0.010871506083922292,0.011444927075946562,0.009607143312320187,0.010871506083922292,1.0,0.0,0.0,50.788358359052836,0.41316597149363815,0.46754131032921664,97.75633254278027,5.175962165643335,5.857152573313015,143.4323914001226,35.5126999311547,40.18640305520904,4.0986666666666665,0.3249943589254028,0.36776573799695467,0.8000000000000002,1.7554167342883506e-16,1.986441035199452e-16,0.0,0.0,0.0,0.9998905849965353,9.539145999892053e-05,0.00010794559881318564
5,EDF + Threshold Downgrade,3,512.3333333333334,40.62429486567531,45.97071724961929,512.3333333333334,40.62429486567531,45.97071724961929,512.3333333333334,40.62429486567531,45.97071724961929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.123333333333334,0.4062429486567529,0.4597071724961927,0.010798932243905218,0.008626447637677817,0.009761744456896457,0.010798932243905218,0.008626447637677817,0.009761744456896457,1.0,0.0,0.0,50.788358359052836,0.41316597149363815,0.46754131032921664,97.75633254278027,5.175962165643335,5.857152573313015,143.4323914001226,35.5126999311547,40.18640305520904,4.098,0.32490614029285475,0.3676659092165063,0.7998708010335918,0.0002237791741045001,0.0002532299741601999,0.0006459948320413437,0.0011188958705225305,0.0012661498708010335,0.999871317907826,0.0001224440882371879,0.0001385585295166607
5,EDF + Threshold Downgrade + Admission,3,512.3333333333334,40.62429486567531,45.97071724961929,509.3333333333333,39.52636251077669,44.72828982993997,509.3333333333333,39.52636251077669,44.72828982993997,3.0,2.0,2.2632130552233334,0.0,0.0,0.0,0.005754076051030624,0.0037906154166986662,0.004289485149201628,5.093333333333334,0.39526362510776697,0.4472828982993997,0.010798932243905218,0.008626447637677817,0.009761744456896457,0.005086396122292533,0.00490389687640201,0.0055492817160709765,1.0,0.0,0.0,50.5113558662127,0.39828129183295824,0.45069770966378264,96.15612351388135,3.652788827820844,4.133519681549035,132.5479758222674,18.642179338461013,21.09561182830982,4.074666666666666,0.3162109000862134,0.3578263186395196,0.7999999999999999,1.3597399555105182e-16,1.5386906095100993e-16,0.0,0.0,0.0,0.9998244795049017,0.00019648754928900503,0.00022234659336985716
5,FIFO + Fixed,3,512.3333333333334,40.62429486567531,45.97071724961929,512.3333333333334,40.62429486567531,45.97071724961929,512.3333333333334,40.62429486567531,45.97071724961929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.123333333333334,0.4062429486567529,0.4597071724961927,0.024289450585349096,0.013127515268355407,0.014855181968992796,0.024289450585349096,0.013127515268355407,0.014855181968992796,1.0,0.0,0.0,50.797724295123466,0.426481891147988,0.4826096919312315,101.66955125452535,9.641165133258525,10.91000539857735,137.6100361988044,31.637443794028336,35.801137914269674,4.0986666666666665,0.3249943589254028,0.36776573799695467,0.8000000000000002,1.7554167342883506e-16,1.986441035199452e-16,0.0,0.0,0.0,0.9992255082405981,0.0006662630479833037,0.0007539476142043515
5,Proposed: EDF + Feasible Utility,3,512.3333333333334,40.62429486567531,45.97071724961929,512.3333333333334,40.62429486567531,45.97071724961929,512.3333333333334,40.62429486567531,45.97071724961929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.123333333333334,0.4062429486567529,0.4597071724961927,0.006336845856957283,0.006826812445850359,0.007725265526504834,0.006336845856957283,0.006826812445850359,0.007725265526504834,1.0,0.0,0.0,50.788358359052836,0.41316597149363815,0.46754131032921664,95.12486108474258,3.6876213316804667,4.1729363702896425,143.4323914001226,35.5126999311547,40.18640305520904,4.0953333333333335,0.3238245409683048,0.3664419643605853,0.7993599929116929,0.0004821649361582649,0.0005456209891421549,0.006400070883071967,0.004821649361583193,0.005456209891422166,0.9999776194652221,1.941716215375097e-05,2.1972587440878804e-05
5,Proposed: EDF + Feasible Utility + Admission,3,512.3333333333334,40.62429486567531,45.97071724961929,512.3333333333334,40.62429486567531,45.97071724961929,512.3333333333334,40.62429486567531,45.97071724961929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.123333333333334,0.4062429486567529,0.4597071724961927,0.006336845856957283,0.006826812445850359,0.007725265526504834,0.006336845856957283,0.006826812445850359,0.007725265526504834,1.0,0.0,0.0,50.788358359052836,0.41316597149363815,0.46754131032921664,95.12486108474258,3.6876213316804667,4.1729363702896425,143.4323914001226,35.5126999311547,40.18640305520904,4.0953333333333335,0.3238245409683048,0.3664419643605853,0.7993599929116929,0.0004821649361582649,0.0005456209891421549,0.006400070883071967,0.004821649361583193,0.005456209891422166,0.9999776194652221,1.941716215375097e-05,2.1972587440878804e-05
10,EDF + Admission Only + Fixed Model,3,1025.0,47.46577714522327,53.71258325569531,999.0,42.14261501141095,47.688858237538035,999.0,42.14261501141095,47.688858237538035,26.0,7.54983443527075,8.543441929339721,0.0,0.0,0.0,0.02522703272834875,0.006677474145954277,0.007556273331519999,9.99,0.4214261501141094,0.4768885823753803,0.03436015231944342,0.008128897278775077,0.009198713222946589,0.009375146266608951,0.0026137737794970344,0.002957763470579061,1.0,0.0,0.0,55.883055478940754,1.402329060919856,1.5868847191964475,137.75808786145524,7.86997608582273,8.905716310864715,211.51454381673406,20.967813532479106,23.72731466309759,7.992000000000001,0.33714092009128843,0.38151086590030525,0.8000000000000002,1.1102230246251565e-16,1.2563356217705953e-16,0.0,0.0,0.0,0.998839230486996,0.0003895776630555246,0.00044084862652533
10,EDF + Fixed,3,1025.0,47.46577714522327,53.71258325569531,1025.0,47.46577714522327,53.71258325569531,1025.0,47.46577714522327,53.71258325569531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.4746577714522325,0.5371258325569528,0.03996239142756076,0.013496450834626205,0.015272671864052938,0.03996239142756076,0.013496450834626205,0.015272671864052938,1.0,0.0,0.0,57.3798838438901,2.37185648762019,2.684008283949087,152.7089832936898,8.548115482149619,9.673103278378857,231.4349664824541,31.26357932427124,35.378070439850475,8.200000000000001,0.37972621716178606,0.42970066604556234,0.8000000000000002,1.7554167342883506e-16,1.986441035199452e-16,0.0,0.0,0.0,0.9986320581599991,0.0007240808362271148,0.0008193746007931172
10,EDF + Threshold Downgrade,3,1025.0,47.46577714522327,53.71258325569531,1025.0,47.46577714522327,53.71258325569531,1025.0,47.46577714522327,53.71258325569531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.4746577714522325,0.5371258325569528,0.035806801906117576,0.009684442616680139,0.010958978481315853,0.035806801906117576,0.009684442616680139,0.010958978481315853,1.0,0.0,0.0,57.143460078418684,2.209736092727804,2.500551786829882,147.20485034693786,6.293783429717859,7.122086412442872,218.34394840823515,21.070927572960816,23.84399918439511,8.179333333333334,0.3748990975360352,0.42423826596750025,0.7979959029002721,0.0005378917190651093,0.0006086817804423384,0.010020485498639561,0.0026894585953252336,0.003043408902211338,0.9987278053201215,0.0006631951407326446,0.0007504759503333985
